Designator,Mid X,Mid Y,Rotation,Layer
BT1,118.11,-100.33,180.0,top
J1,58.42,-57.15,0.0,top
J2,105.41,-111.76,90.0,top
J3,58.42,-72.39,0.0,top
J6,58.42,-92.71,0.0,top
LS1,95.25,-111.76,270.0,top
M1,101.6,-48.26,90.0,top
M2,101.6,-45.72,90.0,top
M3,101.6,-43.18,90.0,top
M4,101.6,-40.64,90.0,top
M5,118.11,-90.17,180.0,top
M6,118.11,-80.01,180.0,top
M7,118.11,-62.23,180.0,top
M8,118.11,-52.07,180.0,top
Q1,88.9,-101.6,90.0,top
U1,77.46816,-63.49728,0.0,top
U2,74.93,-102.87,270.0,top
U3,104.14,-91.44,180.0,top
U4,104.14,-63.5,180.0,top
